feature,importance_rf,importance_xgb
ComputerName,0.5041425246600333,0.7076373
ProcessName,0.15581796358561792,0.0
AccountName,0.08391122842404573,0.0019712257
raw_length,0.070001547829019,0.077138096
CommandLine,0.0621660360062129,0.0
CommandLineLength,0.03144395030336256,0.0
EventCode,0.027444037133827443,0.21325332
IsProcessCreation,0.019087016986742544,0.0
FailureReason,0.010288165538048512,0.0
LogonType,0.009560400734799617,0.0
IsFailedLogon,0.009127523159794556,0.0
HasCommandLine,0.008939495892024753,0.0
IsSuccessLogon,0.005595837168431195,0.0
IsPrivilegeUse,0.0024742725780401652,0.0
